設備編號,型式,縣市,行政區,設置區域描述,設置地點,取締項目,座標緯度,座標經度,拍攝方向,速限,管轄單位,備註
159,雷達,,,,國道五號北向21.1公里,超速,24.89985,121.754179,南往北,90,國道公路警九隊,
160,雷達,,,,國道五號北向22.5公里,超速,24.889566,121.762216,南往北,90,國道公路警九隊,
161,雷達,,,,國道五號北向23.9公里,超速,24.879106,121.769874,南往北,90,國道公路警九隊,
162,雷達,,,,國道五號北向25.3公里,超速,24.869922,121.779332,南往北,90,國道公路警九隊,
163,雷達,,,,國道五號北向26.7公里,超速,24.860365,121.788341,南往北,90,國道公路警九隊,
164,雷達,,,,國道五號北向34.9公里,超速,24.791564,121.780956,南往北,90,國道公路警九隊,
165,雷達,,,,國道六號西向15.6公里,超速,23.996188,120.801365,東往西,100,國道公路警七隊,
166,雷達,,,,國道六號西向26公里,超速,23.981101,120.890991,東往西,100,國道公路警七隊,
167,雷達,,,,國道六號東向12.5公里,超速,23.985535,120.778725,西往東,100,國道公路警七隊,
168,雷達,,,,國道六號東向36.5公里,超速,23.982555,120.988139,西往東,100,國道公路警七隊,
169,雷達,,,,國道八號東向0公里,超速,23.080551,120.195444,西往東,80,國道公路警四隊,
170,雷達,,,,國道八號東向4.2公里,超速,23.089607,120.209621,西往東,80,國道公路警四隊,
171,雷達,,,,國道八號西向0公里,超速,23.080551,120.195444,東往西,80,國道公路警四隊,
172,雷達,,,,國道十號西向16.8公里,超速,22.770908,120.406753,東往西,100,國道公路警五隊,
173,雷達,,,,國道十號西向28.3公里,超速,22.825377,120.488103,東往西,100,國道公路警五隊,
174,雷達,,,,國道十號東向14.7公里,超速,22.760332,120.386905,西往東,100,國道公路警五隊,
175,雷達,,,,國道十號東向21.4公里,超速,22.795574,120.437507,西往東,100,國道公路警五隊,
176,雷達,,,,臺2己線北向1.1公里,超速,25.152981,121.732038,南往北,50,國道公路警九隊,
177,雷達,,,,國道三號彰化系統交流道南北向出口交會處（匝道5K+514）公里,超速,24.1056707,120.5538139,南北向,60,國道公路警七隊,
